name,highway,segments,length_km,predicted_risk,risk_low,risk_high,priority_score,severity,prevented_incidents_min,prevented_incidents_max,recommended_action,reported_crime
['Lemonte Street'],residential,10,0.9148924543267203,36.13,3.180838909891791,4.342000777808312,0,moderate,0,0,add_lighting_and_booth,62.0
['Lemonte Street' 'Mansion Street' 'Delmar Street'],residential,2,1.2908263085797118,4.9,0.817108094734335,1.192703589497229,0,low,0,0,add_lighting,14.0
['Lemon Hill Drive'],unclassified,6,1.1675919275618063,17.733333333333334,1.7268396039987042,2.410596815129726,0,low,0,0,add_lighting,182.0
['Leland Street'],residential,1,0.1150969201482387,54.2,4.594162362449029,6.266369756919261,0,moderate,0,0,add_lighting_and_booth,7.0
['Leidy Avenue'],residential,6,1.1291820005080906,25.21666666666667,2.502455793448527,2.8663045009827606,0,low,0,0,add_lighting,208.0
['Lehman Lane'],residential,2,0.44429431766939687,6.6,0.9055429533004846,1.4000312360273306,0,low,0,0,add_lighting,6.0
['Legion Street'],residential,13,1.1752694924988725,19.2,1.866140474349168,2.603017362257222,0,moderate,0,0,add_lighting,57.0
['Brandywine Street' 'North Judson Street'],residential,1,0.1000802473514524,43.9,3.988914735916877,4.731733324440055,0,moderate,0,0,add_lighting_and_booth,4.0
['Brandon Road'],residential,12,1.2079495544355332,21.483333333333334,2.0677428369326067,2.7064801918033683,0,low,0,0,add_lighting,30.0
['Brandon Place'],residential,2,0.2290652176619116,13.0,1.4730039766699465,1.82958124032072,0,low,0,0,add_lighting,6.0
['Bradford Terrace'],residential,1,0.2201287944287187,25.8,2.499965609770397,2.90069645240393,0,low,0,0,add_lighting,11.0
['Lewis Street' 'Warwick Street'],residential,2,0.5144460865680667,12.05,1.2932061834537367,1.874474762453774,0,low,0,0,add_lighting,4.0
['Lewin Place'],residential,4,0.22633172551318018,54.675,5.258000442499736,6.128091236092256,0,moderate,0,0,add_lighting_and_booth,10.0
['Leverington Avenue' 'Flat Rock Road'],residential,2,0.9415449601729587,27.5,2.2437212422215236,3.5447255441335566,0,low,0,0,add_lighting,84.0
['Levering Street'],residential,10,0.661940910324568,55.779999999999994,5.192193000922041,6.798361362188591,0,high,0,0,add_lighting_and_booth,52.0
['Letitia Street'],residential,1,0.169077455471618,58.9,5.104340827764096,6.938479283838912,0,moderate,0,0,add_lighting_and_booth,55.0
['Lester Road'],residential,15,1.374808323318767,27.446666666666665,2.475864265726297,3.3850822787742456,0,moderate,0,0,add_lighting,40.0
['Lester Road' 'Lester Place'],residential,1,0.0211291729110266,5.8,0.6830041918495837,1.5458660654539695,0,low,0,0,add_lighting,0.0
['Lester Place' 'Lester Road'],residential,1,0.0211291729110266,3.9,0.6789570647573611,1.1606939099432916,0,low,0,0,add_lighting,0.0
['Lesher Street'],residential,2,0.2826998753535521,32.05,2.9275479525567003,3.6529241719790595,0,low,0,0,add_lighting,30.0
['Leroy Street'],residential,10,0.6480954464637534,23.18,1.842580248407978,3.3178787235878238,0,low,0,0,add_lighting,16.0
['Leopard Street'],residential,4,0.4317771528197645,54.224999999999994,5.061589963969752,7.033009105316285,0,high,0,0,add_lighting_and_booth,142.0
['Leonard Street'],residential,43,4.9244708233512755,36.77209302325581,3.289492445146987,4.2681491015914625,0,moderate,0,0,add_lighting,976.0
['Liberty Bell'],unclassified,4,0.858081163759373,6.85,1.0104336875155862,1.280130322358459,0,low,0,0,add_lighting,112.0
['Leyte Place'],residential,2,0.1142318878818252,33.2,2.2647829941001962,4.8954929692844935,0,low,0,0,add_lighting,12.0
['Lexington Avenue'],residential,16,2.984693934339703,28.175,2.4326158142392886,3.7678117625981713,0,high,0,0,add_lighting,84.0
